company_name,year,integrity_score,n_layers_available,window_year,annual_return
Aston Martin Lagonda Global Holdings PLC,2020,1.0,1,2021,-0.2508
Aston Martin Lagonda Global Holdings PLC,2021,0.7752,2,2022,-0.6998
Aston Martin Lagonda Global Holdings PLC,2022,0.8974,2,2023,0.4536
Aston Martin Lagonda Global Holdings PLC,2023,0.7762,2,2024,-0.5051
Aston Martin Lagonda Global Holdings PLC,2024,0.4986,2,2025,-0.4099
Bayerische Motoren Werke AG,2020,0.5636,2,2021,0.2598
Bayerische Motoren Werke AG,2021,0.5,1,2022,-0.0178
Bayerische Motoren Werke AG,2022,0.5761,3,2023,0.2745
Bayerische Motoren Werke AG,2023,0.373,2,2024,-0.176
Bayerische Motoren Werke AG,2024,0.4517,3,2025,0.2583
Ferrari N.V.,2020,0.7124,1,2021,0.1457
Ferrari N.V.,2022,0.7366,2,2023,0.5827
Ferrari N.V.,2023,1.0,1,2024,0.266
Ferrari N.V.,2024,0.5,2,2025,-0.1055
Ford Motor Company,2020,0.8125,1,2021,1.4501
Ford Motor Company,2021,0.678,3,2022,-0.4484
Ford Motor Company,2022,0.7328,3,2023,0.1532
Ford Motor Company,2023,0.6002,4,2024,-0.1289
Ford Motor Company,2024,0.5107,4,2025,0.4603
General Motors Company,2020,0.7175,3,2021,0.4473
General Motors Company,2021,0.531,2,2022,-0.4476
General Motors Company,2022,0.5626,4,2023,0.0735
General Motors Company,2023,0.5767,1,2024,0.493
"Nissan Motor Co., Ltd.",2020,0.689,3,2021,0.0051
"Nissan Motor Co., Ltd.",2021,0.6756,3,2022,-0.285
"Nissan Motor Co., Ltd.",2022,0.7007,3,2023,0.3821
"Nissan Motor Co., Ltd.",2023,0.7448,3,2024,-0.1266
"Nissan Motor Co., Ltd.",2024,0.7055,3,2025,-0.1791
Subaru Corporation,2020,0.8035,2,2021,0.0398
Subaru Corporation,2021,0.9062,2,2022,-0.0243
Subaru Corporation,2022,0.75,1,2023,0.3477
Subaru Corporation,2023,0.875,2,2024,0.0827
Subaru Corporation,2024,0.6392,3,2025,0.2876
"Tesla, Inc.",2020,0.7372,2,2021,0.4481
"Tesla, Inc.",2021,0.8375,1,2022,-0.692
"Tesla, Inc.",2022,0.5887,1,2023,1.2986
"Tesla, Inc.",2023,0.3399,2,2024,0.6256
Toyota Motor Corporation,2020,1.0,1,2021,0.3652
Toyota Motor Corporation,2021,0.9375,1,2022,-0.168
Toyota Motor Corporation,2022,0.9375,1,2023,0.4839
Toyota Motor Corporation,2023,0.7392,2,2024,0.226
Toyota Motor Corporation,2024,0.7079,2,2025,0.1521
Volkswagen AG,2020,0.7326,2,2021,0.2238
Volkswagen AG,2021,0.2294,1,2022,-0.2109
Volkswagen AG,2022,0.392,4,2023,0.0005
Volkswagen AG,2023,0.5936,4,2024,-0.1472
Volkswagen AG,2024,0.6588,4,2025,0.2635
