company_name,year,integrity_score,n_layers_available,window_year,n_weeks,NCSKEW,DUVOL
Aston Martin Lagonda Global Holdings PLC,2020,1.0,1,2021,51,-0.4585,-0.249
Aston Martin Lagonda Global Holdings PLC,2021,0.7752,2,2022,51,-0.3809,0.2269
Aston Martin Lagonda Global Holdings PLC,2022,0.8974,2,2023,51,-0.5015,-0.015
Aston Martin Lagonda Global Holdings PLC,2023,0.7762,2,2024,52,2.0251,0.732
Aston Martin Lagonda Global Holdings PLC,2024,0.4986,2,2025,52,2.2136,1.7533
Bayerische Motoren Werke AG,2020,0.5636,2,2021,51,-0.0393,0.3096
Bayerische Motoren Werke AG,2021,0.5,1,2022,51,0.5445,0.422
Bayerische Motoren Werke AG,2022,0.5761,3,2023,51,0.1191,0.4363
Bayerische Motoren Werke AG,2023,0.373,2,2024,52,0.028,-0.0826
Bayerische Motoren Werke AG,2024,0.4517,3,2025,52,-0.2133,-0.2024
Ferrari N.V.,2020,0.7124,1,2021,51,-0.1513,-0.0724
Ferrari N.V.,2022,0.7366,2,2023,51,0.5337,0.7363
Ferrari N.V.,2023,1.0,1,2024,52,0.1414,-0.0827
Ferrari N.V.,2024,0.5,2,2025,52,1.7739,0.7232
Ford Motor Company,2020,0.8125,1,2021,51,-0.5375,-0.4919
Ford Motor Company,2021,0.678,3,2022,51,0.3414,0.1637
Ford Motor Company,2022,0.7328,3,2023,51,0.443,0.5952
Ford Motor Company,2023,0.6002,4,2024,52,1.9279,1.1041
Ford Motor Company,2024,0.5107,4,2025,52,-0.2028,0.0199
General Motors Company,2020,0.7175,3,2021,51,-0.5384,-0.07
General Motors Company,2021,0.531,2,2022,51,0.3127,0.31
General Motors Company,2022,0.5626,4,2023,51,0.1947,0.1127
General Motors Company,2023,0.5767,1,2024,52,0.1761,0.2075
"Nissan Motor Co., Ltd.",2020,0.689,3,2021,51,-0.2724,-0.307
"Nissan Motor Co., Ltd.",2021,0.6756,3,2022,51,0.2125,0.1288
"Nissan Motor Co., Ltd.",2022,0.7007,3,2023,51,0.1197,0.1008
"Nissan Motor Co., Ltd.",2023,0.7448,3,2024,52,-1.4659,-0.6803
"Nissan Motor Co., Ltd.",2024,0.7055,3,2025,51,0.3977,0.1783
Subaru Corporation,2020,0.8035,2,2021,51,0.066,-0.1105
Subaru Corporation,2021,0.9062,2,2022,51,-0.2365,-0.3587
Subaru Corporation,2022,0.75,1,2023,51,-0.0133,-0.1057
Subaru Corporation,2023,0.875,2,2024,52,0.1316,-0.0853
Subaru Corporation,2024,0.6392,3,2025,51,-0.2717,0.1073
"Tesla, Inc.",2020,0.7372,2,2021,51,0.0263,0.2043
"Tesla, Inc.",2021,0.8375,1,2022,51,1.0211,0.9069
"Tesla, Inc.",2022,0.5887,1,2023,51,-0.707,-0.3319
"Tesla, Inc.",2023,0.3399,2,2024,52,-0.2474,-0.2434
Toyota Motor Corporation,2020,1.0,1,2021,51,0.0451,-0.0316
Toyota Motor Corporation,2021,0.9375,1,2022,51,0.5763,0.3023
Toyota Motor Corporation,2022,0.9375,1,2023,51,-0.4007,-0.4945
Toyota Motor Corporation,2023,0.7392,2,2024,52,-0.5884,-0.2272
Toyota Motor Corporation,2024,0.7079,2,2025,51,-0.3748,-0.2194
Volkswagen AG,2020,0.7326,2,2021,51,-1.0056,-0.9709
Volkswagen AG,2021,0.2294,1,2022,51,0.7984,0.7872
Volkswagen AG,2022,0.392,4,2023,51,-0.3596,-0.2475
Volkswagen AG,2023,0.5936,4,2024,52,-0.6574,-0.837
Volkswagen AG,2024,0.6588,4,2025,52,-0.1113,0.1705
